title,author,isbn
Ulysses,James Joyce,
In Search of Lost Time,Marcel Proust,
The Great Gatsby,F. Scott Fitzgerald,
One Hundred Years of Solitude,Gabriel García Márquez,
The Catcher in the Rye,J. D. Salinger,
Nineteen Eighty Four,George Orwell,
Moby-Dick,Herman Melville,
Don Quixote,Miguel de Cervantes,
The Sound and the Fury,William Faulkner,
Crime and Punishment,Fyodor Dostoevsky,
Anna Karenina,Leo Tolstoy,
Lolita,Vladimir Nabokov,
War and Peace,Leo Tolstoy,
The Lord of the Rings,J. R. R. Tolkien,
Pride and Prejudice,Jane Austen,
Wuthering Heights,Emily Brontë,
The Bible,Unknown,
To Kill a Mockingbird,Harper Lee,
The Trial,Franz Kafka,
The Stranger,Albert Camus,
Madame Bovary,Gustave Flaubert,
The Brothers Karamazov,Fyodor Dostoevsky,
The Odyssey,Homer,
The Magic Mountain,Thomas Mann,
Adventures of Huckleberry Finn,Mark Twain,
The Divine Comedy,Dante Alighieri,
To the Lighthouse,Virginia Woolf,
Jane Eyre,Charlotte Brontë,
The Grapes of Wrath,John Steinbeck,
Heart of Darkness,Joseph Conrad,
Middlemarch,George Eliot,
Alice's Adventures in Wonderland,Lewis Carroll,
The Master and Margarita,Mikhail Bulgakov,
The Iliad,Homer,
Invisible Man,Ralph Ellison,
Mrs. Dalloway,Virginia Woolf,
Catch-22,Joseph Heller,
Les Misérables,Victor Hugo,
Great Expectations,Charles Dickens,
The Red and the Black,Stendhal,
Fictions,Jorge Luis Borges,
On the Road,Jack Kerouac,
The Little Prince,Antoine de Saint-Exupéry,
Frankenstein,Mary Shelley,
One Thousand and One Nights,Unknown,
"Absalom, Absalom!",William Faulkner,
Journey to the End of The Night,Louis-Ferdinand Céline,
David Copperfield,Charles Dickens,
Gone With the Wind,Margaret Mitchell,
Lord of the Flies,William Golding,
Brave New World,Aldous Huxley,
The Old Man and the Sea,Ernest Hemingway,
Beloved,Toni Morrison,
The Life And Opinions Of Tristram Shandy,Laurence Sterne,
The Golden Notebook,Doris May Lessing,
Animal Farm,George Orwell,
The Leopard,Giuseppe Tomasi di Lampedusa,
The Idiot,Fyodor Dostoevsky,
The Sun Also Rises,Ernest Hemingway,
Gulliver's Travels,Jonathan Swift,
Under the Volcano,Malcolm Lowry,
Rebecca,Daphne du Maurier,
Leaves of Grass,Walt Whitman,
Dracula,Bram Stoker,
Essays,Michel de Montaigne,
The Aeneid,Virgil,
Hamlet,William Shakespeare,
Midnight's Children,Salman Rushdie,
The Scarlet Letter,Nathaniel Hawthorne,
Robinson Crusoe,Daniel Defoe,
The Plague,Albert Camus,
Candide,Voltaire,
Their Eyes Were Watching God,Zora Neale Hurston,
Things Fall Apart,Chinua Achebe,
The Count of Monte Cristo,Alexandre Dumas,
The Tin Drum,Günter Grass,
The Good Soldier,Ford Madox Ford,
A Passage to India,E. M. Forster,
Pale Fire,Vladimir Nabokov,
As I Lay Dying,William Faulkner,
A Farewell to Arms,Ernest Hemingway,
Faust,Johann Wolfgang von Goethe,
The Man Without Qualities,Robert Musil,
All Quiet on the Western Front,Erich Maria Remarque,
Buddenbrooks,Thomas Mann,
The Picture of Dorian Gray,Oscar Wilde,
Waiting for Godot,Samuel Beckett,
The Castle,Franz Kafka,
Demons,Fyodor Dostoevsky,
A Portrait of the Artist as a Young Man,James Joyce,
The Portrait of a Lady,Henry James,
For Whom the Bell Tolls,Ernest Hemingway,
The Age of Innocence,Edith Wharton,
Oedipus the King,Sophocles,
Orlando,Virginia Woolf,
The Complete Tales and Poems of Edgar Allan Poe,Edgar Allan Poe,
The Metamorphosis,Franz Kafka,
Slaughterhouse-Five,Kurt Vonnegut,
The Unbearable Lightness of Being,Milan Kundera,
Doctor Zhivago,Boris Pasternak,
Emma,Jane Austen,
The Waste Land,T. S. Eliot,
